#SEC	GET	PUT	SEEK
0	270331	1605734	57729
1	196484	1161425	42042
2	193404	1149543	41304
3	139610	823704	29958
4	254504	1507348	54540
5	210614	1249685	45470
6	142357	844691	30590
7	236696	1401496	50727
8	181660	1079709	39265
9	134450	793432	28877
10	177160	1048529	37578
11	178700	1054274	38409
12	143270	847045	30418
13	116756	690854	25337
14	126086	748337	26885
15	161499	955146	34092
16	132803	784657	28158
17	106188	630556	22944
18	94056	555718	20009
19	80717	481108	17350
20	173041	1022320	37182
21	263074	1561630	56303
22	186168	1105932	39805
23	210688	1253650	44965
24	211658	1251792	45519
25	163849	968199	35167
26	138886	818501	29249
27	188309	1115261	40256
28	145314	859481	31218
29	127517	756422	27458
30	106863	633662	23261
31	149047	881887	31666
32	150543	892236	32447
33	124011	734528	26525
34	99032	591192	21529
35	90472	535043	19400
36	96294	569041	20742
37	223503	1325121	47883
38	241631	1431342	51747
39	170128	1009104	36703
40	242130	1435889	51564
41	188290	1116584	40446
42	140654	833631	30046
43	180250	1065198	38481
44	181538	1073158	38986
45	141783	839909	30206
46	120103	711461	25473
47	128102	761850	27544
48	154129	912982	33117
49	127637	753559	27358
50	108295	641801	23313
51	97233	577328	21084
52	84020	498355	18105
53	180307	1069405	38600
54	264349	1567258	56881
55	182376	1077947	38780
56	225811	1338500	48528
57	206296	1222470	43688
58	160720	949541	34883
59	153899	911240	33075
60	189005	1121738	40885
61	153576	911874	32933
62	124264	736110	26727
63	108378	641033	23430
64	169162	1001545	36027
65	139458	828167	29649
66	112673	665763	23992
67	98635	584538	21063
68	85739	506002	18317
69	151685	899398	32559
70	279786	1659307	60324
71	193696	1146018	41816
72	218758	1294377	47038
73	216507	1284849	46138
74	164659	974604	34842
75	145171	857507	30952
76	197984	1178311	42624
77	157228	930634	34019
78	127213	754676	27451
79	112632	669829	24102
80	166114	985887	35584
81	140109	823505	29884
82	113639	674838	24530
83	94424	557467	20382
84	83429	493350	17951
85	145644	866266	31247
86	279114	1655149	59631
87	199881	1184862	42818
88	188497	1117743	40539
89	221811	1318108	47125
90	171099	1014663	36753
91	137983	818869	29394
92	199807	1181305	42511
93	164136	974019	35144
94	130518	771785	28214
95	99473	588749	21393
96	170744	1012757	37062
97	145749	862903	31341
98	115946	688494	24765
99	98422	582686	20968
100	85516	507611	18493
101	112225	669626	24385
102	258696	1541215	56062
103	233654	1383858	50069
104	190813	1133663	41511
105	233783	1388590	50260
106	174220	1037115	37612
107	131799	778974	28073
108	205516	1218858	43844
109	156207	928181	33390
110	131872	781888	28358
111	111055	657819	23685
112	149342	886368	32231
113	153146	912363	32810
114	121783	718869	26214
115	103837	611683	22205
116	95421	565512	20526
117	102724	609138	22025
118	229716	1362713	49561
119	241308	1431851	51690
120	155675	922894	33443
121	247425	1464037	52606
122	187457	1109829	40194
123	141909	845892	30606
124	184460	1095304	39620
125	182051	1077914	38904
126	140475	833172	29854
127	115018	683064	24657
128	136396	808422	29227
129	163649	969654	34931
130	123474	733326	26781
131	105212	625789	22708
132	94531	560018	20317
133	90286	536680	19538
134	205176	1217300	44019
135	251943	1493589	54102
136	170293	1005996	36671
137	240307	1417428	51099
138	197886	1173237	42303
139	158336	939477	34312
140	154260	912687	33215
141	188561	1119192	40190
142	149231	884162	31789
143	120801	713973	26108
144	113153	671242	24342
145	167860	996824	36048
146	134155	795790	29073
147	114389	675943	24341
148	99093	584485	20833
149	80713	478848	17290
150	133714	793942	28570
151	270968	1608761	57847
152	212519	1261012	45240
153	178588	1064103	38346
154	217229	1284138	46236
155	175921	1043455	37735
156	128096	760422	27421
157	206799	1219187	43915
158	164068	972218	35160
159	135824	803005	28843
160	106007	630736	22884
161	150994	894614	32650
162	149801	886905	32195
163	121073	715751	25913
164	104391	619375	22723
165	94404	564985	20319
166	94239	562518	20159
167	206395	1226403	44837
168	254499	1510130	54332
169	160948	955175	34624
170	248697	1472731	53097
171	186081	1105892	39930
172	150833	899637	32434
173	162623	961728	34859
174	179327	1063282	38673
175	148386	879394	31544
176	119548	708667	25557
177	114252	679246	24635
178	170047	1005191	36334
179	136637	809984	29047
180	108404	643000	23426
181	93662	550479	19835
182	83077	491771	17755
183	149618	884748	32450
184	273123	1613827	57967
185	197871	1166263	41869
186	199211	1182157	42570
187	217847	1288788	46152
188	170473	1006741	36439
189	153364	912886	33170
190	192957	1149317	41688
191	161038	951984	33925
192	120454	714407	25954
193	97881	580965	20890
194	171556	1014201	36615
195	149273	886223	31596
196	115814	686812	24982
197	99265	588678	21297
198	84495	502599	18125
199	113168	669498	24114
200	280661	1660446	60232
201	219308	1299610	46914
202	188122	1116760	40229
203	227373	1350064	48880
204	176608	1048809	37906
205	130747	775355	28162
206	207681	1230355	44690
207	168378	991268	36004
208	133323	785227	28572
209	104551	618890	22200
210	168961	995204	36106
211	149538	885007	32167
212	117181	694845	25132
213	97989	582683	21158
214	86053	509822	18321
215	105761	625889	22620
216	272261	1618084	58853
217	232473	1380511	49508
218	184522	1095654	39460
219	232760	1379895	50018
220	181007	1071955	39077
221	135098	799129	28995
222	202746	1200341	43264
223	165432	984451	35583
224	127560	756064	27375
225	105072	624637	22515
226	163462	968013	34519
227	151155	893798	31977
228	119863	709931	25701
229	100642	595363	21211
230	89427	527613	19161
231	102056	605523	22028
232	232432	1376887	50246
233	242378	1441082	51693
234	180945	1074829	39232
235	242818	1440421	52313
236	185313	1100988	39824
237	133555	789938	28750
238	195097	1153427	41739
239	171930	1021924	36862
240	142494	839877	30261
241	110372	652727	23677
242	144584	861055	31266
243	154404	917537	33215
244	120131	713481	25796
245	108897	646472	23425
246	92161	547444	19871
247	95803	568446	20758
248	202002	1201313	43403
249	252178	1493540	53475
250	168154	994872	36049
251	255970	1518237	54876
252	193658	1149513	41488
253	151658	897566	32584
254	169347	1001509	36087
255	182485	1085946	39152
256	142926	846006	30746
257	121841	722810	26151
258	126205	746795	27041
259	160625	951070	34391
260	133029	789679	28714
261	110516	652422	23870
262	95063	562274	20521
263	88493	528207	19297
264	187305	1110902	40096
265	262444	1561208	56633
266	178443	1056679	38259
267	233909	1383519	50166
268	206571	1224266	44196
269	161581	956931	34768
270	159216	944395	34182
271	188453	1120037	40271
272	150211	890980	32291
273	121841	723989	26048
274	117757	698055	25194
275	166420	983384	35670
276	136477	805982	29321
277	111511	661997	23913
278	96216	570614	20499
279	84065	497951	18157
280	186951	1107445	40058
281	265170	1571858	56680
282	180662	1073847	38560
283	232181	1372697	49765
284	193974	1152131	41648
285	160975	954693	34335
286	139902	829385	29712
287	200433	1182135	42722
288	153929	907822	32907
289	127166	754434	27238
290	105408	622251	22347
291	173903	1029384	37041
292	136641	808874	29111
293	115240	679740	24519
294	91161	542513	19681
295	84263	502772	18263
296	122560	727800	26116
297	288801	1716497	61458
298	210556	1248161	44856
299	199743	1181746	42733
300	220774	1312140	47553
301	169383	1006110	36395
302	137761	818485	29707
303	203532	1204364	43732
304	155515	920694	33081
305	130984	778007	28283
306	100759	597171	21659
307	162318	961844	34748
308	150141	891566	32166
309	115822	683468	24688
310	98947	590251	21626
311	85903	509059	18270
312	108980	647994	23195
313	250469	1483521	53604
314	232153	1374328	49654
315	164471	974057	35203
316	240805	1427867	51507
317	186275	1109128	39852
318	133233	788615	28636
319	184815	1095628	39775
320	177445	1047024	37708
321	136831	812297	29535
322	112723	668440	24063
323	148858	882141	31869
324	154723	915926	33371
325	124303	738314	26569
326	101307	599563	21878
327	94009	558819	20259
328	96742	573827	20778
329	224860	1327563	47992
330	239875	1419831	51606
331	163182	970671	35119
332	243555	1438707	51523
333	192861	1145488	41664
334	149488	886337	32103
335	162348	963706	34961
336	183286	1083611	39371
337	151125	894330	32130
338	120296	711649	25970
339	122362	724592	26274
340	169901	1005204	36355
341	128833	763156	27461
342	105196	622189	22387
343	98946	586902	21401
344	84866	503384	18053
345	193940	1145047	41404
346	262065	1549563	55773
347	188460	1115468	40397
348	229742	1364094	49065
349	174215	1037822	37640
350	100477	598666	21760
351	57481	341386	12428
352	23035	136582	4969
353	4000	23086	827
