#SEC	GET	PUT	SEEK
0	107488	638227	22962
1	228907	1358118	48908
2	229572	1358891	48946
3	231667	1372474	49690
4	257498	1524632	55305
5	186365	1107000	40335
6	191836	1138333	41156
7	254568	1505734	54385
8	221905	1316182	48043
9	187077	1105754	39656
10	217517	1285462	46822
11	187330	1106186	39904
12	157128	931937	33872
13	171474	1016661	36276
14	251768	1489261	53538
15	255793	1515111	55041
16	259442	1536320	55358
17	279871	1663103	59932
18	211690	1259876	45393
19	224980	1331888	48401
20	220686	1302722	46954
21	196349	1159643	41564
22	213057	1263375	46002
23	186256	1102815	39989
24	154121	911310	33108
25	203877	1210164	43712
26	242737	1438479	52290
27	220374	1306522	47435
28	269280	1595640	57746
29	257339	1524313	55221
30	220237	1308742	47162
31	233426	1384659	49873
32	197075	1164508	42149
33	204161	1206747	43529
34	217084	1285417	46516
35	189128	1122731	40256
36	146235	865786	31415
37	201073	1190974	43351
38	327273	1938847	70618
39	224661	1332823	48150
40	299418	1772525	64110
41	234631	1389894	49893
42	264362	1565555	56653
43	232569	1376777	50083
44	195669	1159958	42006
45	209116	1243075	45178
46	192902	1141546	41584
47	158973	941860	34183
48	187986	1114082	39855
49	240407	1423378	51431
50	233020	1378607	49746
51	257138	1525901	55655
52	288875	1706013	62037
53	220138	1304948	47176
54	247534	1467976	52806
55	201494	1190981	42968
56	206934	1232374	44354
57	214462	1270038	46272
58	193862	1150368	41585
59	152536	907536	32649
60	204334	1204194	43838
61	310025	1835000	66533
62	245329	1459046	52791
63	232895	1379315	49539
64	218151	1295983	46772
65	251623	1489984	54096
66	250166	1486289	53477
67	188163	1116714	39980
68	213736	1262021	45541
69	205924	1221077	44415
70	169664	1002339	36468
71	162752	967548	35420
72	315465	1870433	67645
73	250437	1492679	54250
74	268076	1591415	57593
75	273164	1621232	59001
76	243414	1446266	52502
77	250880	1491178	54084
78	195021	1153097	41535
79	218951	1299545	46768
80	205795	1223056	44273
81	179669	1064613	38532
82	154838	916123	33261
83	239180	1418693	51168
84	253723	1502310	54642
85	246662	1465841	52886
86	284777	1684611	61236
87	230000	1366365	49171
88	255492	1512536	54597
89	241277	1433637	51896
90	179250	1062497	38550
91	211859	1255926	44893
92	194108	1152408	42111
93	157421	934047	33618
94	187208	1110300	39918
95	238948	1416733	51338
96	215427	1279033	46173
97	253977	1505174	54777
98	281282	1660209	60340
99	219221	1298201	46945
100	246567	1460758	52945
101	226916	1344157	48541
102	192540	1144532	41535
103	209229	1239325	44810
104	193079	1143095	41392
105	148806	881821	32119
106	200239	1186430	42827
107	250004	1480024	53137
108	265778	1575603	56921
109	271051	1611516	57779
110	254656	1509188	54172
111	236462	1398496	50563
112	244980	1456565	52558
113	190176	1124370	40454
114	225285	1334613	48150
115	211418	1254260	45120
116	170764	1010477	36935
117	157205	931411	33566
118	257272	1522862	55430
119	250637	1491989	54075
120	248279	1480980	53928
121	292715	1736031	62785
122	224651	1328796	47798
123	248250	1471923	53089
124	224846	1338034	48222
125	195539	1158816	42076
126	213467	1266879	45970
127	185204	1098625	39459
128	162452	963157	34769
129	190025	1124653	40483
130	257837	1523723	55193
131	257156	1516489	55102
132	276914	1638570	59069
133	246030	1453462	51967
134	224628	1330206	48067
135	241380	1429921	51362
136	193389	1149960	41560
137	208131	1233445	44667
138	210723	1251456	44769
139	184663	1094730	39582
140	152355	903155	32436
141	220744	1310294	47549
142	302042	1787722	64457
143	255508	1507415	54797
144	280021	1662737	60138
145	229161	1362975	48963
146	258954	1534553	55769
147	227254	1349850	49080
148	195186	1153267	41606
149	213293	1260087	45583
150	194969	1148898	41651
151	158244	933206	33858
152	186717	1105246	40128
153	326643	1940923	70358
154	242595	1441651	52216
155	263072	1555247	56154
156	231736	1380854	49586
157	270095	1600492	58113
158	239004	1418650	51236
159	194909	1152442	41449
160	210744	1248283	45051
161	203440	1205440	43642
162	165461	980729	35152
163	184965	1095387	39526
164	267521	1585259	57083
165	231250	1370740	49732
166	262600	1557566	56578
167	259169	1536779	55500
168	221355	1315381	47774
169	255033	1512865	55052
170	219668	1303665	47242
171	194089	1147599	41128
172	211733	1251518	45396
173	200900	1192971	42866
174	148405	882560	32138
175	210788	1252156	45596
176	294402	1749197	62956
177	230592	1369490	49928
178	242819	1434940	51779
179	243330	1440361	51785
180	230156	1366798	49454
181	245127	1451427	52524
182	188493	1123676	40596
183	224684	1329753	47804
184	203482	1201883	43666
185	175249	1038667	37668
186	158578	941014	34447
187	233172	1383337	49879
188	292927	1732670	63060
189	260952	1550250	56304
190	279094	1658687	60084
191	234934	1392752	50414
192	248164	1463825	52972
193	219793	1304076	46978
194	210939	1252383	45172
195	214299	1273131	46102
196	190911	1130320	41170
197	154326	914189	33044
198	222520	1319676	47416
199	252778	1497969	54384
200	233509	1385142	50017
201	274447	1622949	58625
202	233507	1384334	49824
203	261616	1549609	56259
204	243509	1444260	51947
205	194308	1152310	41384
206	223694	1315994	47765
207	201356	1190839	42645
208	165596	982257	35454
209	180208	1067234	38498
210	252399	1500814	54007
211	227630	1350791	48604
212	290439	1726497	61925
213	277411	1639029	59263
214	225472	1338788	48515
215	254656	1511524	54775
216	203103	1205326	43867
217	215083	1271484	45982
218	207219	1231756	44289
219	183303	1086946	39069
220	151952	901057	32501
221	226208	1344117	48590
222	261179	1549779	56126
223	220938	1306242	47313
224	295725	1758342	63526
225	229402	1352701	48840
226	257557	1525830	55239
227	211213	1256437	44917
228	180275	1069817	38994
229	216243	1280758	46440
230	204179	1210206	43441
231	170153	1005498	36717
232	163870	970791	34824
233	239742	1424398	51570
234	226753	1342743	48738
235	247149	1460830	52844
236	282972	1679498	60986
237	222646	1318139	47212
238	261861	1549949	56375
239	236949	1405228	51210
240	181401	1075734	38871
241	218690	1290760	46603
242	203392	1202644	43663
243	160378	952162	34254
244	203918	1207393	43937
245	252667	1497779	54116
246	237006	1398814	50465
247	267721	1586828	56987
248	266573	1578402	56914
249	234548	1397276	50902
250	128089	759661	27390
251	2844	16822	620
