#SEC	GET	PUT	SEEK
0	171829	1020731	36745
1	113927	675224	24168
2	107020	633750	23032
3	106770	631475	22753
4	105188	624972	22404
5	107663	640688	23252
6	131412	773322	28039
7	96574	571680	20752
8	90641	538387	19264
9	88882	528307	19491
10	90432	536638	19397
11	86721	512212	18552
12	93765	554258	20257
13	170184	1011075	36635
14	151092	894797	32265
15	143444	852780	31076
16	126632	745967	27029
17	173744	1027085	36916
18	128196	758239	27588
19	122270	722784	26156
20	120762	713207	25887
21	103519	613802	22235
22	153297	905793	32341
23	111098	659385	23812
24	106235	630840	22499
25	101334	597643	21744
26	100127	594979	21371
27	107505	635972	23185
28	114496	676993	24463
29	97955	582552	20943
30	93078	553406	20194
31	90020	531019	18990
32	91139	542317	19470
33	90206	535761	19228
34	92730	553402	20165
35	174166	1032593	37301
36	149292	886344	32207
37	149307	879334	31334
38	123371	725236	26404
39	171864	1016138	36610
40	126969	755671	27218
41	123220	729949	26570
42	120840	715532	25975
43	110357	652505	23798
44	141535	839949	30475
45	111445	661513	23791
46	106477	631142	22957
47	104137	619787	22395
48	99800	590196	21476
49	111869	662692	24013
50	106759	631051	22874
51	94140	557255	20220
52	95663	569580	20326
53	90670	536198	19404
54	87425	516356	19137
55	82568	486691	17548
56	113476	673175	24171
57	169742	1008141	36514
58	149463	888826	32075
59	141486	837826	30093
60	142145	838588	30288
61	155101	915306	33084
62	126627	750962	27006
63	124769	741263	26825
64	117538	696969	24985
65	129392	768850	27964
66	129992	770318	27905
67	106504	630136	22857
68	107007	632346	22923
69	105189	624047	22725
70	101370	603312	21771
71	124010	732604	26698
72	101464	603218	21841
73	95542	565504	20503
74	92774	550017	19708
75	89297	527980	19294
76	90116	532830	19285
77	84305	501192	18183
78	152042	898825	32378
79	164317	972417	35077
80	146144	863235	31408
81	139656	827399	29975
82	154966	918670	33477
83	136368	808514	29116
84	123043	729384	26387
85	121437	719970	26171
86	117192	694734	25373
87	138152	820514	29598
88	113958	673927	24237
89	107162	635396	23009
90	103480	612566	22208
91	105020	620386	22363
92	94666	559493	20231
93	129649	769865	27970
94	94223	557766	20251
95	93129	550398	19823
96	91237	539625	19762
97	90031	533351	19181
98	88941	529227	19519
99	84974	505618	18391
100	169026	998853	35979
101	158278	936782	33540
102	143708	851234	30735
103	136565	810637	29316
104	154797	921580	33350
105	133147	787198	28577
106	127602	761114	27409
107	122343	726471	26201
108	110749	656355	23661
109	148877	882137	31883
110	111769	661360	24179
111	106945	631958	22840
112	99846	588581	21654
113	102447	610132	21903
114	97793	579928	20962
115	124770	738041	26604
116	96814	574954	20755
117	91746	544986	19932
118	93514	552334	20019
119	89050	529054	19170
120	91383	539392	19240
121	89624	526724	18993
122	177366	1054268	38310
123	153929	915259	32645
124	146576	868477	31224
125	119996	713133	25896
126	180530	1067715	38553
127	130369	774250	27829
128	118272	704478	25478
129	117978	695889	25358
130	112291	663549	24181
131	148336	880229	31786
132	109772	647256	23376
133	104042	619136	22509
134	101672	604775	21878
135	100891	599656	21574
136	113802	675998	24866
137	111119	662474	24255
138	96913	574418	20946
139	95540	565138	20289
140	91744	546864	19862
141	89218	529351	19287
142	88319	523520	18985
143	106749	634811	22905
144	175187	1040266	37937
145	148689	884532	32176
146	144211	854914	30942
147	135542	805623	28787
148	161399	958078	34611
149	129004	760696	27495
150	119158	710197	25619
151	119316	710759	25550
152	127543	754480	27306
153	128284	758526	27708
154	113063	672305	24401
155	106511	630342	22655
156	104188	617490	22355
157	98907	587839	21385
158	119044	704861	25696
159	106672	631802	22890
160	99368	588933	21254
161	94515	558284	20059
162	89480	528114	18929
163	89470	529694	19135
164	87939	522758	19049
165	142394	843713	30414
166	157581	936992	33832
167	144682	860720	31566
168	143459	848491	31007
169	155000	918256	33127
170	138830	826360	29618
171	123783	733034	26542
172	122186	722146	26139
173	116272	691203	24627
174	136356	805248	28987
175	113794	672850	24419
176	107952	643424	23271
177	106957	636206	22888
178	101216	601544	21542
179	93716	556266	20270
180	129759	768603	27874
181	98561	582965	21233
182	95105	564376	20591
183	88671	524221	19360
184	91927	542653	19651
185	88455	522088	19076
186	89658	532355	19157
187	168950	1001073	36169
188	155149	916856	32811
189	139881	830713	30062
190	132108	782115	28639
191	167577	994130	35674
192	129394	765299	27670
193	123300	731417	26371
194	121226	717899	25925
195	107418	636078	23216
196	149493	883235	32099
197	113299	674633	24292
198	106960	636233	23016
199	105646	623298	22513
200	103677	614770	22261
201	112164	659698	23819
202	109519	652271	23546
203	96016	571118	20644
204	96497	577143	20620
205	91246	540562	19119
206	91530	544678	19563
207	87407	518037	18637
208	110086	650009	23516
209	172053	1017141	36638
210	146065	865324	31288
211	145243	855245	30922
212	134332	799987	28782
213	166451	987206	35273
214	124302	733075	26474
215	124259	741261	26701
216	114367	677890	24609
217	120183	713432	25841
218	135836	806562	29206
219	109060	648466	23875
220	107995	642587	23164
221	101969	603803	22132
222	100542	598861	21731
223	117356	696391	24963
224	103906	617726	22373
225	95635	569881	20453
226	94455	554341	20136
227	89015	530925	19147
228	91449	539834	19630
229	83735	494602	18064
230	128242	759414	27278
231	169018	1002530	36420
232	147600	878001	31525
233	141559	843984	30638
234	151913	901632	32548
235	143375	851325	30589
236	127480	754766	27336
237	123840	732885	26613
238	118060	697779	25275
239	140583	832816	29761
240	112574	668154	24350
241	107555	636881	23147
242	105210	623436	22696
243	103763	612323	22287
244	94276	557986	20220
245	127741	754000	27064
246	97395	576737	20510
247	94522	560616	20344
248	94564	556284	19995
249	92464	549547	19883
250	91539	542070	19329
251	89740	531176	19034
252	164946	980326	35105
253	154352	909127	32860
254	149408	882962	31839
255	130426	774812	28109
256	169797	1007101	36147
257	125669	746675	26922
258	122742	729524	26304
259	113844	675670	24441
260	115008	679300	24606
261	145360	862662	31122
262	112427	663120	23647
263	105261	624657	22757
264	102628	606621	22007
265	103032	612134	22428
266	111750	666884	24021
267	114422	677354	24663
268	98623	587020	21064
269	91218	538722	19535
270	88577	525099	19080
271	92944	548205	19744
272	85805	510705	18425
273	109231	649589	23425
274	179935	1065395	38478
275	148490	879812	32040
276	145197	862063	31165
277	143985	849528	30460
278	153524	906183	32715
279	125274	743271	26992
280	125154	741148	26939
281	119359	704121	25474
282	130871	772207	28187
283	121881	722735	25964
284	107738	637556	23154
285	105548	625796	22947
286	101392	603102	21929
287	103026	611503	22064
288	112544	667426	24109
289	105826	625742	22629
290	95332	566137	20263
291	96507	572866	20520
292	94027	557978	20191
293	92114	545470	19769
294	87010	515294	18521
295	152512	903664	32837
296	155771	923982	33701
297	141987	842839	30662
298	144444	853780	30553
299	146371	867552	31421
300	139471	827769	29644
301	124854	740121	26831
302	122902	728408	26075
303	115254	685191	24781
304	132044	779429	28156
305	123995	732907	26216
306	112341	665800	23827
307	105536	624184	22630
308	103968	614878	22523
309	95881	564776	20119
310	132562	788473	28673
311	98868	586461	21289
312	95730	569294	20723
313	91651	543622	19817
314	89959	533183	19353
315	93086	549875	19819
316	91076	539001	19625
317	171983	1018346	37129
318	154030	917379	33402
319	144622	853304	30940
320	127376	757750	27441
321	173714	1026742	36866
322	127844	759611	27294
323	123459	733828	26757
324	120950	721213	26209
325	107020	629831	22805
326	149911	893365	32447
327	113276	672681	24180
328	106940	638253	22992
329	103228	609392	22104
330	101467	605277	21944
331	117586	694396	24838
332	110776	654610	23454
333	93879	556766	20326
334	96481	574040	20733
335	91649	541782	19629
336	87797	520353	18836
337	88093	524620	18741
338	121819	719027	26124
339	170697	1012731	36553
340	151195	898487	32415
341	142062	848247	30671
342	144793	857953	31292
343	147461	873927	31438
344	123300	728694	26250
345	120117	711567	25860
346	118789	704954	25625
347	135770	807071	29217
348	126313	745783	27279
349	112523	668427	24329
350	104128	617813	22392
351	106182	625289	22799
352	98041	580690	21201
353	124595	740870	26425
354	103063	609115	22087
355	93375	555869	20074
356	92406	547381	19882
357	91457	543826	19828
358	87516	517972	18797
359	85235	504359	18128
360	150432	892255	32437
361	157315	933297	33589
362	147508	873047	31505
363	140619	837171	30286
364	157754	937127	33951
365	135515	804595	29097
366	125258	740895	26775
367	118754	702352	25213
368	118856	708919	25525
369	141732	840688	30338
370	112371	663021	24123
371	106939	634554	23042
372	104885	617992	22173
373	106431	632628	22797
374	92826	549403	19988
375	131384	781463	28216
376	95425	566474	20507
377	95678	566025	20580
378	92252	545937	19786
379	89871	532568	19311
380	91296	540529	19375
381	83550	495812	17869
382	174579	1033047	37192
383	157645	936175	33538
384	150178	885868	31941
385	125786	742529	26991
386	175401	1034826	37219
387	130078	768868	27750
388	124848	741221	26750
389	119882	708714	25664
390	109783	652173	23411
391	143827	851276	30828
392	110057	651480	23715
393	106296	632693	22790
394	105721	629060	22713
395	102968	611836	21814
396	110441	656070	23406
397	106482	633602	23094
398	94156	559280	20126
399	95307	562836	20275
400	92187	545923	19735
401	87460	519975	18774
402	85918	510217	18603
403	114448	678112	24642
404	168739	1002741	36218
405	150240	888487	32079
406	143035	844694	30570
407	138755	825832	29867
408	154651	912681	32775
409	126254	746296	27074
410	123010	731719	26319
411	119005	704772	25598
412	125081	741902	26683
413	126896	748916	27207
414	107343	635706	23127
415	105874	630462	22636
416	97323	582345	21171
417	102405	607214	21880
418	114399	678682	24632
419	106429	629143	22656
420	98448	586944	20895
421	94294	556292	20208
422	93171	549029	20014
423	91431	541996	19490
424	82113	485853	17652
425	137390	812790	29034
426	161239	954443	34751
427	147104	875487	31858
428	144392	852875	30844
429	151916	898937	32735
430	139432	826531	29563
431	124672	740823	27002
432	118038	699716	25217
433	125408	743780	26365
434	135435	802892	29085
435	119172	709661	25650
436	105088	622860	22592
437	103116	614427	22356
438	101606	601151	21846
439	97561	576295	21057
440	129415	769805	27761
441	102638	608690	22013
442	96289	574630	20716
443	93030	548403	19883
444	91305	538510	19406
445	89720	534226	19235
446	85252	505650	18536
447	159036	939573	33849
448	155088	915987	33056
449	146276	868693	31362
450	135829	803075	29050
451	162404	957947	34956
452	131793	779360	28038
453	126058	750936	26756
454	119292	705124	25529
455	113839	674539	24327
456	144378	858407	30878
457	115412	680485	24713
458	105107	620563	22514
459	104946	620729	22451
460	102541	605633	21816
461	101868	604603	21875
462	117183	696450	25347
463	93952	555807	20290
464	92228	545207	19620
465	93759	556344	20035
466	85866	509860	18274
467	83280	492776	17975
468	100057	594551	21521
469	144053	855208	31342
470	90077	532529	19045
471	71888	426568	15254
472	60661	359222	13129
473	57743	342959	12311
474	53516	316538	11630
475	48096	284811	10170
476	39701	236201	8430
477	56266	333957	12183
478	30682	181973	6574
479	5660	33768	1278
480	1185	7093	273
