#SEC	GET	PUT	SEEK
0	208744	1240608	44650
1	223871	1325230	47872
2	203716	1208511	43469
3	152664	901934	32732
4	187428	1110784	40239
5	265474	1574152	57242
6	255749	1518435	54958
7	214647	1270553	45845
8	193840	1147025	41901
9	215548	1275420	45804
10	241264	1424465	51961
11	217067	1284478	46438
12	186774	1105968	39624
13	212369	1258587	44956
14	198776	1175319	42633
15	150615	892811	32423
16	181265	1073686	38711
17	290218	1721339	62214
18	230132	1369598	49134
19	281385	1668465	60633
20	225693	1330583	48112
21	214356	1267665	45403
22	247283	1464763	53213
23	200292	1186055	43057
24	207762	1230484	44441
25	208910	1241166	45004
26	188326	1115710	40603
27	149605	886159	32172
28	218762	1295955	46953
29	250331	1482405	53674
30	229835	1363991	49214
31	250901	1490654	53589
32	226361	1338207	48461
33	208893	1235063	44591
34	253849	1503774	54328
35	198312	1174869	42296
36	185344	1100901	39850
37	207286	1225975	44641
38	198479	1175812	42933
39	149795	890637	32105
40	202719	1201225	43674
41	232783	1377043	49681
42	232027	1373017	49356
43	309341	1834915	66390
44	239464	1416091	51452
45	258566	1532519	55667
46	234681	1394224	50705
47	185989	1101710	40053
48	219925	1301756	46471
49	205809	1217971	44040
50	170940	1010710	36541
51	161755	958907	34844
52	233848	1386245	50623
53	261226	1545108	56070
54	232945	1380016	49864
55	279222	1654781	59383
56	216973	1283388	46275
57	241339	1436812	52265
58	244065	1445779	52264
59	194138	1152102	41669
60	202327	1194795	43382
61	195187	1155015	42001
62	155756	923883	33376
63	181554	1079407	39002
64	251252	1488325	53379
65	229914	1368118	49621
66	279216	1651100	59564
67	275781	1638355	59021
68	230501	1365820	49070
69	253598	1499914	54448
70	201194	1189735	43265
71	207741	1233669	45206
72	210500	1248321	45003
73	186998	1109769	40248
74	151555	903858	32882
75	220242	1310877	47419
76	243250	1442718	52527
77	220989	1314190	47656
78	288367	1712406	62112
79	241002	1427390	51438
80	237269	1409217	50705
81	240589	1427890	51844
82	188464	1116337	40478
83	215379	1278295	46098
84	202191	1195592	43323
85	173565	1028074	37323
86	162671	966044	34919
87	248791	1474768	53497
88	259884	1539395	55887
89	269557	1599344	57321
90	275199	1630250	59034
91	223438	1327397	48137
92	253345	1500915	53829
93	226141	1345014	48894
94	198342	1172898	42176
95	210675	1250160	45434
96	196779	1168060	42110
97	153098	906913	32871
98	204029	1211129	44012
99	255699	1512370	55100
100	249475	1473420	53180
101	272510	1615716	58505
102	236439	1401660	50671
103	249921	1481366	53683
104	234842	1391703	50300
105	190556	1129192	41052
106	228906	1356584	49086
107	203362	1205077	43361
108	180797	1070693	38407
109	162309	962234	34770
110	236638	1407278	50593
111	238787	1415343	50744
112	233294	1381398	49905
113	261133	1549573	55933
114	224584	1329531	47993
115	247392	1465871	52818
116	243098	1441400	52053
117	183231	1085284	39334
118	219807	1300673	47369
119	201402	1194591	43204
120	160446	955822	34762
121	168369	1005271	36823
122	280037	1658681	59585
123	269879	1601137	57997
124	280945	1663206	59857
125	254707	1515875	54781
126	245090	1455354	52777
